key,text,description
fact.supports_behavior,{0} supports {1}.,Readable fact
fact.mobility_mode,{0}'s mobility is {1}.,Readable fact
fact.density_class,{0}'s density is {1}.,Readable fact
fact.has_capability,{0} has the capability {1}.,Readable fact
fact.grants_capability,{0} grants the capability {1}.,Readable fact
fact.grants_skill,{0} grants the skill {1}.,Readable fact
fact.skill_grant_requires_rule,{0} requires the rule block {1} to grant a skill.,Readable fact
fact.has_skill,{0} has the skill {1}.,Readable fact
fact.has_temporary_skill,{0} temporarily has the skill {1}.,Readable fact
fact.can_use_skill,{0} can use the skill {1}.,Readable fact
fact.equipped_by,{0} is equipped by {1}.,Readable fact
fact.carried_by,{0} is carried by {1}.,Readable fact
fact.has_rule_block,{0} has the rule block {1}.,Readable fact
ui.status.no_operation_result,The operation did not return a result.,Operation fallback
common.none,None,Empty value
variable.actor,Actor,Rule variable
variable.target,Target,Rule variable
variable.tool,Tool,Rule variable
variable.item,Item,Rule variable
variable.object,Object,Rule variable
variable.water,Water region,Rule variable
variable.support,Support,Rule variable
placement.ui.categories,Categories,Placement heading
placement.ui.select,Select,Placement action
placement.ui.close,Close,Placement action
placement.empty.title,No objects,Empty placement catalog
placement.empty.description,No placeable objects are registered in this category.,Empty placement catalog
placement.status.choose,Choose an object.,Placement status
placement.status.invalid_prefab,This catalog entry has no valid prefab.,Placement status
placement.status.instructions,Move the mouse over a valid surface then left-click to place. Q/E rotates; Esc cancels.,Placement status
placement.status.ready,Ready: left-click to place. Q/E rotates; Esc cancels.,Placement status
placement.status.placed,{0} was placed and its ontology data was injected.,Placement status
placement.validation.too_far,Too far away. Move your character closer.,Placement validation
placement.validation.too_steep,This surface is too steep.,Placement validation
placement.validation.unmarked_surface,This surface has not been marked for placement yet.,Placement validation
placement.validation.wrong_surface,This object cannot be placed on this type of surface.,Placement validation
placement.validation.too_close,Too close to another placed object.,Placement validation
category.Nature,Nature,Placement category
category.Landmark,Landmark,Placement category
category.Water,Water,Placement category
category.Other,Other,Placement category
world_edit.status.inactive,Press Tab near an object to select it.,World edit status
world_edit.status.finish_placement,Finish or cancel object placement first.,World edit status
world_edit.status.no_nearby_object,No nearby editable object was found.,World edit status
world_edit.status.moving,Move the mouse to position the object. Left-click confirms; right-click or Esc cancels.,World edit status
world_edit.status.selected,Selected: {0},World edit status
world_edit.summary.no_selection,No object selected.,World edit summary
world_edit.summary.no_ontology,No ontology data is attached.,World edit summary
world_edit.summary.id,Id,World edit summary
world_edit.summary.concepts,Concepts,World edit summary
world_edit.summary.facts,Facts,World edit summary
character.ui.title,Character Parts,Character customization
character.ui.toggle_hint,Press C to customize,Character customization
character.ui.select_part,Select a part,Character customization
character.ui.select_part_description,Choose a category and part to preview ontology effects.,Character customization
character.ui.no_icon,No icon,Character customization
character.ui.category,Category,Character customization
character.ui.part,Part,Character customization
character.ui.slot,Slot,Character customization
character.ui.unknown_slot,Unknown slot,Character customization
character.ui.equip,Equip,Character customization
character.ui.unequip,Unequip,Character customization
character.ui.equipped,Equipped,Character customization
character.ui.ontology_facts,Ontology Facts,Character customization
character.ui.badge.on,On,Character customization
character.ui.badge.capability,Capability,Character customization
character.ui.badge.conflict,Conflict,Character customization
character.status.missing_data,Character customization data is missing.,Character status
character.status.select_valid_part,Select a valid part first.,Character status
character.status.equip_failed,Equip failed: {0} ({1}),Character status
character.status.unequip_failed,Unequip failed: {0} ({1}),Character status
character.status.equipped,Equipped: {0},Character status
character.status.unequipped,Unequipped: {0},Character status
character.detail.category,Category,Character detail
character.detail.status,Status,Character detail
character.detail.effects_will_unequip,Effects: will unequip ,Character detail
character.detail.grants,Grants,Character detail
character.preview.no_adapter,No runtime adapter.,Character preview
character.preview.already_equipped,Already equipped.,Character preview
character.preview.will_replace,Will replace {0}.,Character preview
character.preview.available,Available to equip.,Character preview
character.failure.definition_missing,part definition is missing,Character failure
character.failure.renderer_missing,target renderer is missing,Character failure
character.failure.world_missing,ontology world is not ready,Character failure
character.failure.already_equipped,already equipped,Character failure
character.failure.already_unequipped,already unequipped,Character failure
character.failure.unknown,unknown reason,Character failure
object.stone_1.description,A POLY STYLE stone.,Placeable description
object.stone_2.description,A POLY STYLE stone.,Placeable description
object.stone_3.description,A POLY STYLE stone.,Placeable description
object.grass_1.description,A POLY STYLE vegetation group.,Placeable description
object.grass_2.description,A POLY STYLE vegetation group.,Placeable description
object.landmark_cluster.description,A POLY STYLE environment cluster.,Placeable description
object.inflatable_ring.description,A light inflatable ring configured by ontology data.,Placeable description
relation.animation_intent,animation intent,Relation
relation.attachment_kind,attachment kind,Relation
relation.attacks,attacks,Relation
relation.attacks_with,attacks with,Relation
relation.carried_item,carried item,Relation
relation.cold_damage_tick,cold damage tick,Relation
relation.combined,combined with,Relation
relation.completed_quest,completed quest,Relation
relation.core_vitality,core vitality,Relation
relation.current_tick,current tick,Relation
relation.emits,emits,Relation
relation.equipped,equipped item,Relation
relation.equipped_item,equipped item,Relation
relation.equipped_part,equipped part,Relation
relation.exposed_to,exposed to,Relation
relation.fears,fears,Relation
relation.has_item,item,Relation
relation.helps,helps,Relation
relation.immersion_depth,immersion depth,Relation
relation.incompatible_with,incompatible with,Relation
relation.inspects,inspects,Relation
relation.intent,intent,Relation
relation.interaction_intent,interaction intent,Relation
relation.mood,mood,Relation
relation.mounted_actor,mounted actor,Relation
relation.mounted_in,mounted in,Relation
relation.movement_state,movement state,Relation
relation.near,near,Relation
relation.offers,offers,Relation
relation.physical_state,physical state,Relation
relation.records,records,Relation
relation.requires_concept,requires concept,Relation
relation.slot_id,slot id,Relation
relation.slot_owner,slot owner,Relation
relation.standing_on,standing on,Relation
relation.status,status,Relation
relation.subject,subject,Relation
relation.surface,surface,Relation
relation.swimming_activity,swimming activity,Relation
relation.talks_to,talks to,Relation
relation.target,target,Relation
relation.temperature,temperature,Relation
relation.unequip_part,unequip part,Relation
relation.applicable_to,applicable to,Relation
fact.animation_intent,{0}'s animation intent is {1}.,Readable fact
fact.attachment_kind,{0}'s attachment kind is {1}.,Readable fact
fact.attacks,{0} attacks {1}.,Readable fact
fact.attacks_with,{0} attacks with {1}.,Readable fact
fact.carried_item,{0} carries {1}.,Readable fact
fact.cold_damage_tick,{0} received cold damage at {1}.,Readable fact
fact.combined,{0} is combined with {1}.,Readable fact
fact.completed_quest,{0} completed {1}.,Readable fact
fact.core_vitality,{0}'s core vitality is {1}.,Readable fact
fact.current_tick,{0}'s current tick is {1}.,Readable fact
fact.emits,{0} emits {1}.,Readable fact
fact.equipped,{0} equipped {1}.,Readable fact
fact.equipped_item,{0} has {1} equipped.,Readable fact
fact.equipped_part,{0} has the part {1} equipped.,Readable fact
fact.exposed_to,{0} is exposed to {1}.,Readable fact
fact.fears,{0} fears {1}.,Readable fact
fact.has_item,{0} owns {1}.,Readable fact
fact.helps,{0} helps {1}.,Readable fact
fact.immersion_depth,{0}'s immersion depth is {1}.,Readable fact
fact.incompatible_with,{0} is incompatible with {1}.,Readable fact
fact.inspects,{0} inspects {1}.,Readable fact
fact.intent,{0}'s intent is {1}.,Readable fact
fact.interaction_intent,{0}'s interaction intent is {1}.,Readable fact
fact.mood,{0}'s mood is {1}.,Readable fact
fact.mounted_actor,{0} carries the mounted actor {1}.,Readable fact
fact.mounted_in,{0} is mounted in {1}.,Readable fact
fact.movement_state,{0}'s movement state is {1}.,Readable fact
fact.near,{0} is near {1}.,Readable fact
fact.offers,{0} offers {1}.,Readable fact
fact.physical_state,{0}'s physical state is {1}.,Readable fact
fact.records,{0} records {1}.,Readable fact
fact.requires_concept,{0} requires the concept {1}.,Readable fact
fact.slot_id,{0} uses slot {1}.,Readable fact
fact.slot_owner,{0}'s slot owner is {1}.,Readable fact
fact.standing_on,{0} is standing on {1}.,Readable fact
fact.status,{0}'s status is {1}.,Readable fact
fact.subject,{0}'s subject is {1}.,Readable fact
fact.surface,{0}'s surface is {1}.,Readable fact
fact.swimming_activity,{0}'s swimming activity is {1}.,Readable fact
fact.talks_to,{0} talks to {1}.,Readable fact
fact.target,{0}'s target is {1}.,Readable fact
fact.temperature,{0}'s temperature is {1}.,Readable fact
fact.unequip_part,{0} removes the part {1}.,Readable fact
fact.applicable_to,{0} is applicable to {1}.,Readable fact
concept_validation.empty,Concept cannot be empty.,Concept validation
concept_validation.not_selectable,{0} is not selectable.,Concept validation
concept_validation.conflict,{0} conflicts with the existing concept {1}.,Concept validation
concept_validation.requires,{0} requires the concept {1}.,Concept validation
concept_validation.applicable,{0} is intended for objects with: {1}.,Concept validation
concept.PhysicalProfile,Physical profile,Concept
concept.AttachmentProfile,Attachment profile,Concept
state.Afraid,Afraid,State
state.Burning,Burning,State
state.Calm,Calm,State
state.ColdEnvironment,Cold environment,State
state.DeathReaction,Death reaction,State
state.Discomfort,Discomfort,State
state.Distrustful,Distrustful,State
state.Disturbed,Disturbed,State
state.Drowning,Drowning,State
state.Flee,Fleeing,State
state.Freezing,Freezing,State
state.Healthy,Healthy,State
state.Idle,Idle,State
state.ImpairedMovement,Impaired movement,State
state.Moving,Moving,State
state.Neutral,Neutral,State
state.Recovering,Recovering,State
state.Respectful,Respectful,State
state.SevereDamageReaction,Severe damage reaction,State
state.ShallowWater,Shallow water,State
state.Slowed,Slowed,State
state.Smoke,Smoke,State
state.Swamp,Swamp,State
state.TreadingWater,Treading water,State
state.Warm,Warmed,State
state.Wary,Wary,State
state.Wet,Wet,State
value.Accessory,Accessory,Value
value.AngryExpression,Angry expression,Value
value.Attack,Attack,Value
value.AudioGear,Audio gear,Value
value.Back,Back,Value
value.Body,Body,Value
value.Buoyancy,Buoyancy,Value
value.ClownNose,Clown nose,Value
value.ColdProtection,Cold protection,Value
value.ColdProtectionPreparation,Cold protection preparation,Value
value.Costume,Costume,Value
value.DriverSeat,Driver seat,Value
value.Ears,Ears,Value
value.Eyes,Eyes,Value
value.Eyewear,Eyewear,Value
value.Face,Face,Value
value.FacialHair,Facial hair,Value
value.Feet,Feet,Value
value.Footwear,Footwear,Value
value.FullBody,Full body,Value
value.Grass,Grass,Value
value.Hair,Hair,Value
value.HandProtection,Hand protection,Value
value.Hands,Hands,Value
value.Handwear,Handwear,Value
value.HappyExpression,Happy expression,Value
value.Head,Head,Value
value.Headwear,Headwear,Value
value.Help,Help,Value
value.Ice,Ice,Value
value.Inspect,Inspect,Value
value.LowerBody,Lower body,Value
value.Mascot,Mascot,Value
value.NeutralExpression,Neutral expression,Value
value.Outerwear,Outerwear,Value
value.Outfit,Outfit,Value
value.Pacifier,Pacifier,Value
value.RightHand,Right hand,Value
value.Shorts,Shorts,Value
value.SkinSurface,Skin surface,Value
value.Slippers,Slippers,Value
value.Socks,Socks,Value
value.Stick,Stick,Value
value.StoneAxe,Stone axe,Value
value.SwampProtectionPreparation,Swamp protection preparation,Value
value.SwampResistance,Swamp resistance,Value
value.Talk,Talk,Value
value.Torso,Torso,Value
value.UpperBody,Upper body,Value
value.Waist,Waist,Value
value.Warmth,Warmth,Value
value.HeavySinking,Heavy sinking,Value
value.LightBuoyant,Light buoyant,Value
value.StaticAnchored,Static anchored,Value
value.HeavyBuoyant,Heavy buoyant,Value
value.BackCarry,Back carry,Value
value.DriverSeatMount,Driver seat mount,Value
value.RightHandCarry,Right-hand carry,Value
value.WaistInflatableRing,Waist inflatable ring,Value
entity.Player,Player,Entity
entity.Goblin,Goblin,Entity
entity.FireSword,Fire sword,Entity
entity.Village,Village,Entity
entity.VillageOutskirts,Village outskirts,Entity
entity.BeachZone,Beach zone,Entity
entity.GoblinClan,Goblin clan,Entity
entity.Tree,Tree,Entity
entity.Bush,Bush,Entity
entity.Reed,Reed,Entity
entity.Torch,Torch,Entity
action.attack,Attack {target} with {tool},Action label
action.inspect,Inspect {target},Action label
action.talk,Talk to {target},Action label
action.help,Help {target},Action label
action.equip_part,Equip {target},Action label
action.unequip_part,Unequip {target},Action label
action.unequip_wearable,Unequip {target},Action label
physical_profile.HeavySinking,Heavy sinking,Physical profile
physical_profile.LightBuoyant,Light buoyant,Physical profile
physical_profile.StaticAnchored,Static anchored,Physical profile
physical_profile.HeavyBuoyant,Heavy buoyant,Physical profile
attachment_profile.BackCarry,Back carry,Attachment profile
attachment_profile.DriverSeatMount,Driver seat mount,Attachment profile
attachment_profile.RightHandCarry,Right-hand carry,Attachment profile
attachment_profile.WaistInflatableRing,Waist inflatable ring,Attachment profile
character_part.Part_Body_Base,Body 010,Character part
character_part.Part_Face_Base,Usual expression,Character part
character_part.Part_Male_Emotion_Happy_002,Happy expression,Character part
character_part.Part_Male_Emotion_Angry_003,Angry expression,Character part
character_part.Part_Hairstyle_Base,Hairstyle male 001,Character part
character_part.Part_Hairstyle_Male_005,Hairstyle male 005,Character part
character_part.Part_Hairstyle_Male_Single_006,Hairstyle male single 006,Character part
character_part.Part_TShirt_Base,T-shirt base,Character part
character_part.Part_Pants_Base,Pants 009,Character part
character_part.Part_Pants_010,Pants 010,Character part
character_part.Part_Shorts_003,Shorts 003,Character part
character_part.Part_Shoes_Base,Sneakers 009,Character part
character_part.Part_Shoe_Slippers_002,Slippers 002,Character part
character_part.Part_Shoe_Slippers_005,Slippers 005,Character part
character_part.Part_Socks_008,Socks 008,Character part
character_part.Part_Outerwear_Base,Outerwear 004,Character part
character_part.Part_Outwear_043,Outerwear 043,Character part
character_part.Part_Outwear_050,Outerwear 050,Character part
character_part.Part_Mascot_002,Mascot 002,Character part
character_part.Part_Outfit_010,Outfit 010,Character part
character_part.Part_FullBody_Base,Costume 13,Character part
character_part.Part_Hat_Base,Hat 010,Character part
character_part.Part_Hat_Single_008,Hat single 008,Character part
character_part.Part_Hat_Single_013,Hat single 013,Character part
character_part.Part_Hat_Single_016,Hat single 016,Character part
character_part.Part_Costume_13_002,Costume 13 hat,Character part
character_part.Part_Glasses_Base,Glasses 006,Character part
character_part.Part_Glasses_004,Glasses 004,Character part
character_part.Part_Gloves_Base,Gloves 006,Character part
character_part.Part_Gloves_014,Gloves 014,Character part
character_part.Part_Mustache_Base,Mustache 011,Character part
character_part.Part_Mustache_003,Mustache 003,Character part
character_part.Part_Accessories_Base,Headphones 002,Character part
character_part.Part_Clown_Nose_001,Clown nose 001,Character part
character_part.Part_Pacifier_001,Pacifier 001,Character part
rule.BurnEvent.name,Burn event,Rule
rule.BurnEvent.description,A dry plant hit by a fire object starts burning.,Rule description
rule.SmokeEvent.name,Smoke event,Rule
rule.SmokeEvent.description,A burning object emits smoke and creates a visible world signal.,Rule description
rule.FleeEvent.name,Flee event,Rule
rule.FleeEvent.description,A creature that fears fire flees when a nearby object emits fire.,Rule description
rule.DisturbanceEvent.name,Disturbance event,Rule
rule.DisturbanceEvent.description,A fleeing creature near a village creates a local disturbance.,Rule description
rule.QuestHookEvent.name,Investigation quest hook,Rule
rule.QuestHookEvent.description,A disturbed place and visible smoke expose an investigation quest hook.,Rule description
rule.NpcFearMoodEvent.name,NPC fear mood,Rule
rule.NpcFearMoodEvent.description,A fleeing NPC becomes afraid.,Rule description
rule.NpcDistrustEvent.name,NPC distrust,Rule
rule.NpcDistrustEvent.description,Talking to an afraid NPC makes them distrust the player.,Rule description
rule.NpcRespectEvent.name,NPC respect,Rule
rule.NpcRespectEvent.description,Helping the village earns respect from nearby NPCs.,Rule description
rule.QuestConsequenceEvent.name,Quest consequence,Rule
rule.QuestConsequenceEvent.description,Completing the smoke investigation helps the disturbed village recover.,Rule description
rule.CraftStoneAxeRule.name,Craft stone axe,Rule
rule.CraftStoneAxeRule.description,The player crafts a stone axe.,Rule description
rule.TileWaterStatusWetRule.name,Water tile makes wet,Rule
rule.TileWaterStatusWetRule.description,An actor standing on a water tile becomes wet.,Rule description
rule.TileFreezingColdExposureRule.name,Freezing tile cold exposure,Rule
rule.TileFreezingColdExposureRule.description,An actor standing on a freezing tile is exposed to a cold environment.,Rule description
rule.SwampResistanceCapabilityRule.name,Swamp resistance capability,Rule
rule.SwampResistanceCapabilityRule.description,Swamp-resistance equipment protects an actor's movement in a swamp.,Rule description
rule.TileSwampMovementSlowRule.name,Swamp movement slowdown,Rule
rule.TileSwampMovementSlowRule.description,An actor standing on a swamp tile becomes slowed unless protected by swamp resistance.,Rule description
rule.ColdProtectionWarmthRule.name,Cold protection warmth,Rule
rule.ColdProtectionWarmthRule.description,Cold-protection equipment keeps a cold-exposed actor warm.,Rule description
rule.ColdExposureVitalityTickRule.name,Cold exposure vitality damage,Rule
rule.ColdExposureVitalityTickRule.description,Cold exposure lowers core vitality once per simulation tick unless the actor is warm.,Rule description
rule.SlowedAnimationIntentRule.name,Slowed animation intent,Rule
rule.SlowedAnimationIntentRule.description,Slowed actors prefer an impaired-movement animation intent.,Rule description
rule.ColdAnimationIntentRule.name,Cold animation intent,Rule
rule.ColdAnimationIntentRule.description,Cold exposure prefers a discomfort animation intent.,Rule description
rule.LowVitalityAnimationIntentRule3.name,Low vitality reaction 3,Rule
rule.LowVitalityAnimationIntentRule3.description,Core vitality 3 creates a severe-damage animation intent.,Rule description
rule.LowVitalityAnimationIntentRule2.name,Low vitality reaction 2,Rule
rule.LowVitalityAnimationIntentRule2.description,Core vitality 2 creates a severe-damage animation intent.,Rule description
rule.LowVitalityAnimationIntentRule1.name,Low vitality reaction 1,Rule
rule.LowVitalityAnimationIntentRule1.description,Core vitality 1 creates a severe-damage animation intent.,Rule description
rule.DeathAnimationIntentRule.name,Death animation intent,Rule
rule.DeathAnimationIntentRule.description,Core vitality 0 creates a death-reaction animation intent.,Rule description
rule.ColdProtectionQuestHook.name,Cold protection quest,Rule
rule.ColdProtectionQuestHook.description,Cold exposure offers a quest to equip protective clothing.,Rule description
rule.SwampProtectionQuestHook.name,Swamp protection quest,Rule
rule.SwampProtectionQuestHook.description,Entering a swamp without resistance offers a protective-equipment quest.,Rule description
rule.DeepWaterOccupancySwimming.name,Deep-water swimming,Rule
rule.DeepWaterOccupancySwimming.description,An actor deeply immersed in a water region uses swimming movement.,Rule description
rule.DeepWaterWithoutSwimmingBlockDrowning.name,Deep-water drowning,Rule
rule.DeepWaterWithoutSwimmingBlockDrowning.description,An actor in deep water drowns when no swimming rule applies and the actor cannot use the swimming skill.,Rule description
rule.SwimmingMovementAnimationIntent.name,Swimming movement animation,Rule
rule.SwimmingMovementAnimationIntent.description,Swimming movement expresses the swimming animation intent unless the actor is idle.,Rule description
rule.SwimmingIntentRequiresSwimmingMovement.name,Swimming intent cleanup,Rule
rule.SwimmingIntentRequiresSwimmingMovement.description,Swimming animation intent exists only while swimming movement is inferred.,Rule description
rule.ShallowWaterOccupancyWading.name,Shallow-water wading,Rule
rule.ShallowWaterOccupancyWading.description,An actor shallowly immersed in a water region uses wading movement.,Rule description
rule.SwimmingIdleTreadingWaterIntent.name,Idle treading water,Rule
rule.SwimmingIdleTreadingWaterIntent.description,Idle swimming activity expresses the treading-water animation intent.,Rule description
rule.TreadingWaterIntentRequiresSwimmingMode.name,Treading-water swimming requirement,Rule
rule.TreadingWaterIntentRequiresSwimmingMode.description,Treading-water intent is removed when swimming movement ends.,Rule description
rule.TreadingWaterIntentRequiresMovingCleanup.name,Treading-water movement cleanup,Rule
rule.TreadingWaterIntentRequiresMovingCleanup.description,Treading-water intent is removed when the swimming actor starts moving.,Rule description
rule.BuoyantWhenInWater.name,Floatable object in water,Rule
rule.BuoyantWhenInWater.description,A floatable object occupying a water region enters the floating physical state.,Rule description
rule.AutoEquipNearbyWearable.name,Equip nearby wearable,Rule
rule.AutoEquipNearbyWearable.description,A selected wearable reserves an empty equipment slot when an actor approaches it.,Rule description
